Ntime;time;Close Price;Open Price;High Price;Low Price;Volume;MACD;CCI;ATR;BOLL;EMA20;MA10;MTM6;MA5;MTM12;ROC;SMI;WVAD;US Dollar Index;Federal Fund Rate
20080922;733673;1207.09;1255.37;1255.37;1205.61;533213;-17.5820714624197;-20.0384941325178;49.76;1253.06230769231;1237.13221111983;1218.866;-41.96;1207.732;-29.74;-5.32478940846132;-0.0142260986027064;2434405.44109144;76.19;1.51
20080923;733674;1188.22;1207.61;1221.15;1187.06;518573;-19.2798760143974;-76.7128456295837;34.0900000000001;1248.83230769231;1232.47390529889;1215.237;-63.48;1202.658;-54.0899999999999;-3.93020867863812;-0.0355670270445764;2405417.97496846;76.72;1.46
20080924;733675;1185.87;1188.79;1197.41;1179.79;482036;-20.5778154666375;-91.943681600197;17.6200000000001;1245.26576923077;1228.03543812757;1210.62;-27.72;1208.554;-81.9200000000001;-4.54314945544993;-0.0505824426564189;-3588327.56296442;77;1.19
20080925;733676;1209.18;1187.87;1220.03;1187.87;587764;-19.5007273968354;-34.4288754330599;34.1600000000001;1243.05384615385;1226.23968211542;1206.633;52.79;1209.088;-15.3299999999999;-4.62300538732755;-0.033969801070544;2617689.18711955;77.01;1.23
20080926;733677;1213.01;1204.47;1215.77;1187.54;538361;-18.1290974003027;-26.7188950750148;28.23;1240.68730769231;1224.97971239014;1202.764;6.5;1200.674;-19.03;-0.939151170672351;0.0167434728485338;-856314.131583403;76.95;1.08
20080929;733680;1106.39;1209.07;1209.07;1106.39;730506;-25.3531582588564;-196.402269966149;106.62;1234.09769230769;1213.68545406727;1194.133;-100.12;1180.534;-142.66;-9.64630750259287;-0.0883329625326509;-20713889.9670834;77.71;1.56
20080930;733681;1166.36;1113.78;1168.03;1113.78;493768;-25.9401784955141;-140.2736435323;61.6399999999999;1229.25769230769;1209.17826796563;1189.41;-40.1500000000001;1176.162;-85.3400000000002;-4.74883831083455;0.00854796117836671;-9228809.49033345;79.24;2.03
20081001;733682;1161.06;1164.17;1167.03;1140.77;578213;-26.5272720883881;-101.602022246869;26.26;1225.18923076923;1204.59557577842;1189.877;-45.45;1171.2;-31.6400000000001;-5.18166450253571;-0.0376706367953851;-15286183.8461105;79.69;1.15
20081002;733683;1114.28;1160.64;1160.64;1111.43;628564;-30.4166784977524;-145.100973608265;49.6299999999999;1219.14192307692;1195.99409237096;1180.654;-92.23;1152.22;-99.31;-9.00196813419245;-0.112184083883099;-35719052.9166897;80.56;0.67
20081003;733684;1099.23;1115.16;1153.82;1098.14;671612;-34.3178752173651;-138.1857758329;55.6799999999998;1212.12538461538;1186.7784645261;1165.069;-107.28;1129.464;-57.1600000000001;-10.2310311879854;-0.0893553918928994;-31458652.1385264;80.61;1.1
20081006;733687;1056.89;1097.56;1097.56;1007.97;795602;-40.3608313342429;-199.636734433752;91.26;1202.74884615385;1174.40813457124;1150.049;-198.19;1119.564;-149.62;-14.2162592123632;-0.110526670145259;-36069996.0151846;81.61;1.96
20081007;733688;996.23;1057.6;1072.91;996.23;706920.96;-49.4743629775603;-187.288647638831;76.6800000000001;1191.72576923077;1157.43878842159;1130.85;-210.86;1085.538;-258.85;-20.2409831471919;-0.159916348334978;-47691567.311313;81.234;2.97
20081008;733689;984.94;988.91;1021.06;970.97;871632.96;-56.9514106983636;-172.038941317971;50.0899999999999;1180.47038461538;1141.01033238144;1110.757;-203.28;1050.314;-222.15;-21.3118159303347;-0.185447989546635;-38768475.1180967;81.151;2.24
20081009;733690;909.92;988.42;1005.25;909.19;681900;-68.14497901867;-173.518442939031;96.06;1166.42961538462;1119.0017292975;1080.831;-275.95;1009.442;-278.3;-25.0224540413154;-0.249866035729302;-57524805.0588491;81.4;1.4
20081010;733691;899.22;902.31;936.36;839.8;1145623.04;-76.9918490243952;-162.705633158842;96.5600000000001;1153.44461538462;1098.07013603107;1049.452;-309.96;969.44;-286.65;-22.2390370030872;-0.187248619383762;-68687735.9790645;82.41;0.79
20081013;733694;1003.35;912.75;1006.93;912.75;726336.96;-74.7390907778904;-81.4887992951167;107.71;1144.25384615385;1089.04917069478;1039.148;-209.66;958.732;-205.83;-16.8386503220031;-0.13975959395041;-38879330.0368405;81.85;0.79
20081014;733695;998.01;1009.97;1044.31;972.07;816199.04;-72.5483646214793;-49.9882766705745;72.2399999999999;1133.87769230769;1080.37877348575;1022.313;-58.8800000000001;959.088;-215;-20.4823596902189;-0.140432019017105;-44397199.8736011;81.56;1.1
20081015;733696;907.84;994.6;994.6;903.99;654233;-77.1982701727641;-90.6090856197744;94.02;1121.69807692308;1063.94650934425;996.991;-88.39;943.668;-198.55;-24.7910263526332;-0.185267616757009;-65929208.7451244;82.29;1.04
20081016;733697;946.43;909.53;947.71;865.83;798450;-76.8832016425997;-91.7161829555655;81.88;1110.71307692308;1052.75446083527;980.206;-38.5100000000001;950.97;-219.93;-20.3489252831967;-0.139006395385861;-60518506.9620304;82.25;0.83
20081017;733698;940.55;942.29;984.64;918.74;658178;-76.2292510660594;-61.0301801304745;65.9;1098.84769230769;1042.0683217081;964.338;30.63;959.236;-220.51;-20.6869218379755;-0.110077680742556;-43672032.3743521;82.36;0.6
20081020;733701;985.4;943.51;985.4;943.51;517564;-71.2704094341143;-33.2888481454459;44.85;1088.60538461538;1036.67133868828;957.189;86.18;955.646;-128.88;-18.5067566449991;-0.010870983608203;-43410190.9061168;83.08;0.7
20081021;733702;955.05;980.4;985.44;952.47;512183;-68.9941613243667;-32.3369573237706;32.97;1079.465;1028.89787786083;953.071;-48.3000000000001;947.054;-144.18;-21.2661066273155;-0.0303470262147949;-33263409.7002475;84.729;0.67
20081022;733703;896.78;951.67;951.67;875.81;614798;-71.0728368928053;-98.0087268308602;79.24;1067.28;1016.31522282646;944.255;-101.23;944.842;-160.11;-15.1491640568082;-0.0144408299630737;-57627648.8983527;85.34;0.81
20081023;733704;908.11;899.08;922.83;858.44;718418;-70.9876643393848;-107.513706578748;64.39;1057.73076923077;1006.00996350966;944.074;0.269999999999982;937.178;-88.12;-8.84534695803178;0.00978956293841053;-76327934.3350262;84.83;0.93
20081024;733705;876.77;895.22;896.3;852.85;655005;-72.6120144546321;-129.979151095551;55.26;1045.04846153846;993.701395556358;941.829;-69.66;924.422;-108.17;-10.9823948666924;-0.126157372801116;-70968910.5529316;86.53;0.95
20081027;733708;848.92;874.28;893.78;846.75;555805;-75.2788185112545;-131.65957074354;47.03;1029.42692307692;979.912691217657;926.386;-91.63;897.126;-61;-6.703886055917;-0.14938728068857;-71259835.2663664;87.15;0.92
20081028;733709;940.51;848.92;940.51;845.27;709695.04;-69.2039918489359;-39.28814729789;95.24;1019.17384615385;976.160053958833;920.636;-44.89;894.218;41.29;4.59175730077178;0.0347364727647765;-53925909.18163;86.15;0.67
20081029;733710;930.09;939.51;969.97;922.26;707780;-64.4870878616612;23.5720159994015;47.71;1009.24576923077;971.772429772277;922.861;-24.9599999999999;900.88;-73.26;-7.30153984153087;-0.0172648796001817;-66026540.9902844;84.48;0.36
20081030;733711;954.09;939.38;963.23;928.5;617583;-58.1420823119543;32.7175624071675;34.73;1000.33115384615;970.088388841584;923.627;57.3100000000001;910.076;-43.92;-4.4007575074398;0.0141915332935049;-63966799.8402482;84.53;0.3
20081031;733712;968.75;953.11;984.38;944.59;639435;-51.3388775956659;70.9610049807708;39.79;991.083846153846;969.960923237624;926.447;60.64;928.472;60.91;6.70933204088826;-0.0168966916988025;-31642915.6839477;85.59;0.22
20081103;733715;966.3;968.67;975.57;958.82;449228;-45.6191146117286;84.9787156400227;16.75;981.595;969.612263881659;924.537;89.53;951.948;19.87;2.09946852910411;0.0116423470971748;-46794812.5288489;86.3;0.23
20081104;733716;1005.75;971.31;1007.51;971.31;553129;-37.4709343295929;123.57390883252;41.21;977.724230769231;973.053953035787;929.607;156.83;964.996;65.2000000000001;6.93211418850673;0.108347004722844;-34247333.485258;84.74;0.23
20081105;733717;952.77;1001.84;1001.84;949.86;542664;-34.8863379908303;61.699868683018;55.89;969.509230769231;971.12214798476;935.206;12.26;969.532;-32.63;-3.31134564643799;0.0468738520314451;-32747342.1420509;84.57;0.23
20081106;733718;904.88;952.4;952.4;899.73;610223;-36.2840891443258;-31.3480865880586;53.04;959.656153846154;964.813371986211;934.883;-25.21;959.69;-50.17;-5.25312810847599;0.0310648925824419;-42061753.3580595;86.222;0.23
20081107;733719;930.99;907.44;931.46;906.9;493164;-34.8828504281834;-17.5244533210428;26.58;952.606538461539;961.592098463715;940.305;-23.1;952.138;34.21;3.8147594727804;0.0881534710362088;-23337719.3180786;86.09;0.27
20081110;733722;919.21;936.75;951.95;907.47;457200;-34.3272035659271;-6.04466819318165;44.48;945.682692307692;957.555708133837;947.334;-49.54;942.72;11.1;1.22231888207376;-0.0226472871101849;-14631392.9090882;85.87;0.29
20081111;733723;898.95;917.15;917.15;884.9;499834;-35.116856838337;-60.9609563012931;34.3100000000001;939.608076923077;951.974212121091;943.178;-67.3499999999999;921.36;22.1800000000001;2.52973984055112;-0.0334806309066864;-19159059.1273704;87.04;0.29
20081112;733724;852.3;893.39;893.39;850.48;576418;-39.0567064752582;-124.323060853305;48.47;934.072307692308;942.48143001432;935.399;-153.45;901.266;3.38;0.398152947274183;-0.106688048297331;-16355457.8505034;87.43;0.35
20081113;733725;911.29;853.13;913.01;818.69;784912;-36.9926375984841;-94.2560941046075;94.3199999999999;931.239615384616;939.510817632004;931.119;-41.48;902.548;-29.22;-3.10682502046762;-0.0593135483870968;-3997741.28238801;86.9;0.35
20081114;733726;873.29;904.36;916.88;869.88;588103;-37.9852601298038;-89.9952663749928;47;929.830769230769;933.204073095622;921.573;-31.59;891.008;-56.8000000000001;-6.10693588792483;-0.0962537514229535;-28017697.6391056;86.32;0.34
20081117;733729;850.75;873.23;882.29;848.98;492749;-40.1281380659681;-126.004175931577;33.3099999999999;927.966538461539;925.351304229373;910.018;-80.24;877.316;-103.34;-10.8312632980117;-0.154113845389013;-32945156.4951215;86.76;0.37
20081118;733730;859.12;852.34;865.9;826.84;667947;-40.6820380095047;-119.055037089355;39.0599999999999;922.419230769231;919.043560969433;895.355;-60.09;869.35;-109.63;-11.3166451612903;-0.0982923475760152;-15415719.9208045;87.11;0.38
20081119;733731;806.58;859.03;864.57;806.18;654860;-44.8436173041901;-131.806118591219;58.3900000000001;915.056538461539;908.33274563901;880.736;-92.37;860.206;-159.72;-16.5290282520956;-0.108633188931129;-37196063.6444462;87.46;0.38
20081120;733732;752.44;805.87;820.52;747.78;909374;-51.9119359276137;-174.306036296508;72.74;909.079615384615;893.485817482914;865.492;-99.8599999999999;828.436;-253.31;-25.1861794680587;-0.191785088991289;-51630529.8468399;88.22;0.49
20081121;733733;800.03;755.84;801.2;741.02;949590;-53.0618501091836;-139.651535633355;60.1800000000001;903.448846153846;884.585263436922;852.396;-111.26;813.784;-152.74;-16.0311512747043;-0.129654812284462;-47217218.4810972;87.65;0.57
20081124;733736;851.81;801.2;865.6;801.2;787944;-49.227488284383;-49.0335357610041;65.5700000000001;900.035769230769;881.463809776263;845.656;-21.48;813.996;-53.0700000000001;-5.86486605958802;-0.0524389565604317;-24964034.6601109;85.867;0.62
20081125;733737;857.39;853.4;868.94;834.99;695270;-45.2172334269536;-17.2289666703201;33.95;895.112307692308;879.171065988048;841.5;6.63999999999999;813.65;-73.6;-7.90556289541241;0.00593662160743656;-12289887.427841;84.77;0.59
20081126;733738;887.68;852.9;887.68;841.37;579326;-39.1437034568656;24.2724373600839;46.3099999999999;892.521153846154;879.981440655853;845.038;28.5599999999999;829.87;-31.5300000000001;-3.43011934160856;-0.0259083277551603;-5900521.72941835;85.78;0.53
20081128;733740;896.24;886.89;896.25;881.21;274086;-33.2563087115617;70.4386662465552;15.04;892.500384615385;881.529874879105;843.533;143.8;858.63;-2.71000000000004;5.15546169189253;0.0256069802731412;4266525.39467983;86.55;0.52
20081201;733743;816.21;888.61;888.61;815.69;605201;-34.6488477719468;-26.7112628509314;80.55;888.965769230769;875.308934414428;837.825;16.1800000000001;861.866;-36.0899999999999;-10.4335612154199;-0.0405994710549515;-2505072.14872015;87.05;0.52
20081202;733744;848.81;817.94;850.54;817.94;617010;-32.7444399386651;-20.4827283069601;34.3299999999999;887.890384615385;872.785226374959;837.631;-3;861.266;-62.48;-2.80319252481994;-0.0120006518297794;-5476476.41169406;86.57;0.47
20081203;733745;870.74;843.6;873.12;827.6;622188;-29.1298247993286;27.2842542579749;45.52;888.729615384616;872.590442910677;838.793;13.35;863.936;-2.54999999999995;2.34969144872172;0.073684452304936;5401386.83815854;86.7;0.36
